Day 4 15-164-17'CL, 2 PHENYL 5 OX-A-ZOL-ONE
132'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
3C10'CL, FLU-O-RES-CEIN
Ma_36-H'CL, DINI-TRO-PHENYL
47SNQP33, 2 PHENY-LOX-A-ZOL-ONE
40SNQP28, 2 PHENY-LOX-A-ZOL-ONE
OX1''CL, 2 PHENY-LOX-A-ZOL-ONE.
47SNQP7, 2 PHENY-LOX-A-ZOL-ONE
H1-45'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
MMW.4.11'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MMW.7.10'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQT15/4'CL, 2 PHENY-LOX-A-ZOL-ONE
Ia_29-H'CL, DINI-TRO-PHENYL
43SNQP17, 2 PHENY-LOX-A-ZOL-ONE
NQ10 12.4.7'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MEMORY 1, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
La 01-H'CL, DNP
S2H5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Fb_12-H'CL, DINI-TRO-PHENYL
132.26'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
Nb 74-H'CL, DNP
48SNQP136, 2 PHENY-LOX-A-ZOL-ONE
NQT15/23'CL, 2 PHENY-LOX-A-ZOL-ONE
NQ19.1.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
N1G9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
40SNQP23, 2 PHENY-LOX-A-ZOL-ONE
Nb 56-H'CL, DNP
2B1-78'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Jc_21-H'CL, DINI-TRO-PHENYL
MOPC315, DINI-TRO-PHENYL TRINI-TRO-PHENYL MENA-DI-ONE VI-TA-MIN K3  BIND-ING CON-STAN-T=5.4X10-EX-P5  EP-SILON DNP L LYS BIND-ING CON-STAN-T=1.0X10-EX-P7   2 4 DINI-TRON-APH-THOL BIND-ING CON-STAN-T=2.5X10-EX-P6  EP-SILON DNP AMINOCAPROATE BIND-ING CON-STAN-T=6.7X10-EX-P6
Lb 92-H'CL, DNP
2C9A7'CL, FLU-O-RES-CEIN
103-48'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
HV1-31'CL, FLU-O-RES-CEIN
Mb_56-H'CL, DINI-TRO-PHENYL
